Site Name,Site ID,Internal Wix Name,Published Status,Site URL,Premium,Domain Connected,Editor Type,Builder Type,Blocked,Created At,Updated At,Brand,Parent Brand,Site Category,Short Description,Business Model,Audience,Primary Offer,Funnel Stage,Content Role,Keep / Merge / Kill,Priority,SEO Priority,Primary Keyword Cluster,Source of Truth,Available Connector Actions,Installed Apps,Next Action,Internal Notes,Reviewed,Inventory Batch
"Moonshine Capital","cc61a0cb-edcd-43dc-bdda-42c76443dcd6","website-31","Published","https://www.distilledfunding.com/","Yes","Yes","EDITOR","Wix Editor","No","2020-09-29T06:25:35.309Z","2026-04-23T23:35:25.876Z","Moonshine Capital","Moonshine Capital ecosystem","Funding; Affiliate Agency","Primary public site for Moonshine Capital. Used for business funding, partner recruitment, funding education, and affiliate-powered financial services.","Affiliate; Lead Gen; Broker Network; Content Marketing","Small business owners; Entrepreneurs; Funding agents; Loan brokers; Ecommerce sellers","Business funding applications and partner recruitment","BOFU","Flagship site","Keep","Flagship","High","Business funding; business loan broker; alternative financing","Wix","Query Sites","Unknown","Run deeper connector checks for installed apps, CMS, blog, forms, events, groups, members, courses, pricing plans, and store capabilities.","Primary revenue-facing domain and canonical funding brand asset. Treat as flagship, not sandbox.","No","Highlighted Sites - May 2026"
"FundQuest","0e96c028-9489-4071-afa2-92a8036ed0b9","","Unknown","","No","No","Unknown","Unknown","No","","","Moonshine Capital","Moonshine Capital ecosystem","Funding","Funding-focused Wix site or concept likely intended as a quiz, guided funding discovery, or application-routing property within the Moonshine Capital ecosystem.","Lead Gen; Affiliate; AI Tools","Small business owners; Entrepreneurs; Funding agents; Loan brokers","Funding discovery or guided funding qualification","MOFU","Landing page","Rebuild","Incubator","Medium","funding quiz; business funding discovery; funding options","Wix","Query Sites","Unknown","Resolve mismatch: ListWixSites returns FundQuest, but the account-level query response did not include a detailed FundQuest record. Recheck site visibility/details before finalizing publish URL and editor metadata.","Treat as a highlighted inventory item with partial connector data until the detailed Wix API record is available.","No","Highlighted Sites - May 2026"
"Consulting","31ef3d4a-f527-459c-bd4e-198acdc2998c","consulting","Published","https://jasonfeimster.wixstudio.com/consulting","No","No","STUDIO","Wix Studio","No","2026-01-13T18:19:35.359Z","2026-04-20T21:21:36.721Z","Jason Feimster","Jason Feimster","Consulting; AI Tools","Consulting-oriented Wix Studio site likely positioned for advisory, AI consulting, automation, or professional service offers.","Consulting; Lead Gen; AI Tools","Entrepreneurs; Consultants; Small business owners","Consulting services or advisory funnel","BOFU","Landing page","Keep","Active","Medium","AI consulting; business consulting; automation consulting","Wix","Query Sites","Unknown","Review positioning and decide whether this becomes a personal consulting flagship or merges into LeanAI/JFV.","Published Wix Studio site with no custom domain connected.","No","Highlighted Sites - May 2026"
"Modern Brand Solutio","3b37e85b-d1a9-4c51-bbe1-ab646b70f558","modern-brand-solutio","Published","https://jasonfeimster.wixsite.com/modern-brand-solutio","No","No","ODEDITOR","Unknown","No","2026-04-06T12:47:11.454Z","2026-04-06T12:51:53.826Z","Unknown","Juliet Foxtrot Ventures","Consulting; Portfolio","Branding or digital-services concept site that may fit as an agency, design, or marketing-services property.","Consulting; Lead Gen; Content Marketing","Entrepreneurs; Consultants; Creators","Branding or digital agency services","MOFU","Landing page","Merge","Incubator","Low","modern branding; digital brand services; business identity","Wix","Query Sites","Unknown","Decide whether to merge into Digital-Agency, LeanAI Studios, or JFV portfolio.","Published but likely an early concept or duplicate brand-service property.","No","Highlighted Sites - May 2026"
"Juliet Foxtrot Ventures","5da5aeb3-f69a-4240-bc8c-377ec3f56c9f","jfventures","Published","https://jasonfeimster.wixsite.com/jfventures","No","No","ODEDITOR","Unknown","No","2026-04-11T14:33:50.656Z","2026-04-20T21:19:18.908Z","Juliet Foxtrot Ventures","Juliet Foxtrot Ventures","Portfolio; AI Tools; Consulting","Venture studio or holding-company site for organizing portfolio brands, experiments, micro-startups, and AI/fintech ventures.","Consulting; AI Tools; Digital Products; Content Marketing","Entrepreneurs; SaaS founders; Consultants; Creators","Venture studio portfolio and startup-building services","MOFU","Flagship site","Keep","Flagship","Medium","venture studio; AI venture studio; micro business portfolio","Wix","Query Sites","Unknown","Clarify role as parent brand and connect or redirect relevant sub-brands.","Likely parent-company candidate for the broader site portfolio.","No","Highlighted Sites - May 2026"
"Bizfin Os","85e3af6e-d1a6-4ee0-8e1a-fb333cab02a7","bizfin-os","Published","https://jasonfeimster.wixsite.com/bizfin-os","No","No","ODEDITOR","Unknown","No","2026-04-11T13:01:20.258Z","2026-04-20T21:21:50.472Z","BizFin OS","Moonshine Capital ecosystem","Funding; Banking/Fintech; AI Tools","Business finance operating-system concept for funding readiness, business credit, cash flow tools, and fintech-style guidance.","Lead Gen; AI Tools; Digital Products; Affiliate","Small business owners; Entrepreneurs; Ecommerce sellers; SaaS founders","Business finance OS and funding readiness tools","MOFU","Tool hub","Keep","Active","High","business finance OS; business credit tools; funding readiness","Wix","Query Sites","Unknown","Decide whether BizFin OS becomes a standalone tool hub or feeds Moonshine Capital portal.","Strong candidate for productized tools and lead magnets.","No","Highlighted Sites - May 2026"
"Digital-Agency","59c5b721-20f4-493b-aed3-f78a7b4cdd3b","agency","Published","https://jasonfeimster.wixstudio.com/agency","No","No","STUDIO","Wix Studio","No","2026-01-13T18:09:51.831Z","2026-04-20T21:21:10.160Z","Unknown","Juliet Foxtrot Ventures","Consulting; AI Tools","Digital agency concept site for services such as AI automation, websites, content systems, and digital operations.","Consulting; Lead Gen; AI Tools","Entrepreneurs; Consultants; Small business owners; Creators","Digital agency and AI automation services","BOFU","Landing page","Merge","Incubator","Medium","digital agency; AI automation agency; business automation services","Wix","Query Sites","Unknown","Merge positioning with Consulting or LeanAI Studios unless it has a distinct offer.","Published Wix Studio site without custom domain; likely overlaps with other service brands.","No","Highlighted Sites - May 2026"
"Broker Directory","b16068c5-1740-4cb6-ad16-64653bf2d323","moonshine-capital","Published","https://jasonfeimster.wixsite.com/moonshine-capital","No","No","ODEDITOR","Unknown","No","2026-04-17T18:49:26.417Z","2026-04-17T23:48:28.214Z","Moonshine Capital","Moonshine Capital ecosystem","Funding; Directory; Affiliate Agency","Broker directory concept for showcasing funding partners, agents, profiles, and routed application links.","Affiliate; Broker Network; Lead Gen; Portal","Funding agents; Loan brokers; Entrepreneurs; Small business owners","Broker or partner directory","MOFU","Directory","Keep","Active","High","business loan broker directory; funding agent directory; broker profiles","Wix","Query Sites","Unknown","Compare against Vercel broker directory and decide whether Wix becomes CMS/auth layer or archive.","High strategic value if tied to broker profiles, partner resources, and tracking links.","No","Highlighted Sites - May 2026"
"Bank","ece43abb-22dc-4367-8e62-7b808faafd15","bank","Not Published","","No","No","STUDIO","Wix Studio","No","2026-01-13T18:19:53.153Z","2026-02-25T00:33:04.444Z","Unknown","Moonshine Capital ecosystem","Banking/Fintech; Funding","Unpublished banking or fintech-style concept site, potentially useful for neobank, finance OS, or business banking offer experiments.","Lead Gen; Affiliate; AI Tools","Small business owners; Entrepreneurs; Ecommerce sellers; SaaS founders","Banking or fintech concept","MOFU","Sandbox","Park","Incubator","Low","business banking; fintech platform; finance operations","Wix","Query Sites","Unknown","Do not build further until role is clarified against BizFin OS and Moonshine portal.","Unpublished Wix Studio concept; likely useful as an idea sandbox, not production asset yet.","No","Highlighted Sites - May 2026"
"LeanAI Studios","4c9a1932-269f-41a0-9d8b-36abc801694d","lean-ai","Published","https://jasonfeimster.wixstudio.com/lean-ai","No","No","STUDIO","Wix Studio","No","2024-04-03T10:26:43.365Z","2025-07-28T06:50:28.784Z","LeanAI Studios","Juliet Foxtrot Ventures","AI Tools; Consulting","AI studio or consulting brand for automation, AI tools, workflow systems, and lightweight productized services.","AI Tools; Consulting; Digital Products; Lead Gen","Entrepreneurs; Consultants; Small business owners; SaaS founders","AI automation studio services and tools","MOFU","Authority blog","Keep","Active","High","AI automation studio; AI consulting; AI workflow tools","Wix","Query Sites","Unknown","Decide whether this becomes the canonical AI services brand under JFV.","Older but strategically useful Wix Studio site; likely worth consolidating AI service offers here.","No","Highlighted Sites - May 2026"
